País,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Total (calculado)
Venezuela,6,8,9,12,15,18,21,58,196,293,422,670,463,355,339,151,2986
Colombia,135,144,138,141,151,125,168,105,97,59,55,63,64,58,59,45,898
Cuba,41,43,61,58,55,48,59,29,22,18,5,12,9,7,7,1,217
Perú,17,28,31,21,25,18,23,15,9,5,7,4,7,9,8,3,108
Haití,0,0,0,0,0,0,15,11,10,10,10,4,3,1,1,0,65
España,0,0,0,0,0,0,2,2,2,3,7,4,4,5,4,4,37
República Dominicana,0,0,0,0,0,0,9,10,9,3,3,4,0,0,1,1,40
China,5,2,3,2,1,4,3,6,4,4,0,1,1,1,0,0,24
Yemen,0,0,0,0,0,0,0,0,2,4,7,1,0,2,0,0,16
Rusia,0,0,0,0,0,0,1,2,1,0,0,0,0,1,3,1,9
Italia,0,0,0,0,0,0,2,0,1,1,0,2,0,1,2,0,9
India,0,0,0,0,0,0,0,1,3,0,3,0,0,0,0,1,8
Paraguay,1,0,0,0,0,0,1,1,2,1,0,0,0,1,0,0,6
Dominica,0,0,0,0,0,0,2,2,0,1,0,0,0,0,2,0,7
Afganistán,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,4
Pakistán,0,0,0,0,0,0,0,0,1,0,0,1,0,3,2,0,7
Brasil,0,0,0,0,0,0,2,0,1,0,1,0,1,1,1,0,7
Siria,0,0,1,0,0,0,0,1,0,2,0,2,1,0,0,0,6
Estados Unidos,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,6
Bolivia,0,0,0,0,0,0,1,0,1,1,0,0,1,2,0,0,6
Argentina,0,0,0,0,0,0,2,0,1,1,0,0,0,1,0,1,6
Irán,0,0,0,0,0,0,0,0,1,1,0,2,0,1,0,0,5
Camerún,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,5
Bangladés,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,4
México,1,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,4
Egipto,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2
Nigeria,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,3
Líbano,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
Costa Rica,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,3
Ucrania,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,2
Rumania,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2
Reino Unido,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2
Libia,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2
Japón,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2
Honduras,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2
Argelia,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2
Alemania,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2
Zambia,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Sudáfrica,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Sri Lanka,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
República Checa,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Puerto Rico,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Portugal,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Panamá,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Nicaragua,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Namibia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Marruecos,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Malí,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Guatemala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Finlandia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Dinamarca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Corea del Sur,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Chile,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1
Bielorrusia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Baréin,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Aruba,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Angola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Albania,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Total extrangeras ,207,226,245,235,249,213,321,251,371,414,531,773,561,454,437,212,4538
TOTAL NACIMIENTOS ,11472,11618,11049,9742,9980,8923,7699,6008,5683,5131,4212,5236,4218,4305,4108,2358,111742
