Variable,Columna utilizada en la base,N total,n disponible,n missing,% missing,missing nacional,missing extranjero
Casos,(recuento de filas elegibles),255,255,0,0,0,0
Origen materno,Extrangera,255,255,0,0,0,0
Edad materna,Edad.materna,255,255,0,0,0,0
Consultas prenatales,controles_prenatales,255,251,4,1.6,4,0
Densidad de controles/semana,densidad_controles,255,250,5,2,5,0
Control prenatal suboptimo por densidad,control_prenatal_densidad,255,250,5,2,5,0
Edad gestacional,Edad.gestaciol.RN,255,254,1,0.4,1,0
Prematuridad,PREMATURO.CODIGO,255,254,1,0.4,1,0
Peso al nacer,Peso.al.nacer.GRAMOS,255,255,0,0,0,0
Pequeno para la edad gestacional,PESO.EG.CATEGORIA,255,255,0,0,0,0
Tipo de parto,TIPO.DE.PARTO,255,255,0,0,0,0
Trastorno hipertensivo,TRASTORNOS.HIPERTENSIVOS.CATEGORIA,255,253,2,0.8,2,0
Defecto congenito,Defectos.congenitos.CODIGO,255,255,0,0,0,0
Fallecimiento neonatal,Egreso.RN,255,255,0,0,0,0
