elemento,operacion,objeto,familia_verificada,verificacion_ok
Tabla 2,resumen_irr,fit_poisson,poisson,TRUE
Figura 1,posterior_epred,fit_poisson,poisson,TRUE
Tabla S4,summarise_draws/nuts_params,fit_poisson,poisson,TRUE
Tabla S5,posterior_predict,fit_poisson,poisson,TRUE
Tabla S6,loo,fit_poisson,poisson,TRUE
Tabla S7 panel A,resumen_irr,fit_sin_2021,poisson,TRUE
Tabla S7 panel B,resumen_irr,fit_sin_2024,poisson,TRUE
Tabla S8 principal,loo/resumen_irr,fit_poisson,poisson,TRUE
Tabla S8 prior 0.5,loo/resumen_irr,fit_prior_05,poisson,TRUE
Tabla S8 prior 1.5,loo/resumen_irr,fit_prior_15,poisson,TRUE
Figura S1,posterior_predict,fit_poisson,poisson,TRUE
Sensibilidad de familia,loo_compare,fit_poisson + fit_nb,poisson + negbinomial,TRUE
