anio,origen,tasa_mediana,ICr95_inf,ICr95_sup,casos,nacimientos,tasa_observada,fuente_modelo
2009,nacional,1.9172959377771268,1.3945520316207016,2.656580195387358,22,11265,1.9529516200621393,fit_poisson_spline_principal.rds
2010,nacional,1.7977230837291147,1.4334067459379873,2.249572100726499,26,11392,2.282303370786517,fit_poisson_spline_principal.rds
2011,nacional,1.6989116418371677,1.4015468063347716,2.0473744353064642,13,10804,1.2032580525731211,fit_poisson_spline_principal.rds
2012,nacional,1.6450391204080375,1.3194496810797982,2.0058076868715204,24,9507,2.5244556642473968,fit_poisson_spline_principal.rds
2013,nacional,1.6459341032209815,1.2808599345854164,2.0493367195980396,10,9731,1.027643613194944,fit_poisson_spline_principal.rds
2014,nacional,1.7102638120645315,1.321246653252309,2.130672241740153,16,8710,1.8369690011481057,fit_poisson_spline_principal.rds
2015,nacional,1.8356471706805904,1.452453902282312,2.25356101188114,10,7378,1.3553808620222283,fit_poisson_spline_principal.rds
2016,nacional,2.0230030557513325,1.6448338603367139,2.434241742724004,9,5757,1.5633142261594581,fit_poisson_spline_principal.rds
2017,nacional,2.2547360463138824,1.8437440329941257,2.7428255179542838,8,5312,1.5060240963855422,fit_poisson_spline_principal.rds
2018,nacional,2.5015139329876552,2.0211706985730107,3.144709769652159,9,4717,1.907992368030528,fit_poisson_spline_principal.rds
2019,nacional,2.7305632530788166,2.1616185468588798,3.527386754447009,16,3681,4.346644933442,fit_poisson_spline_principal.rds
2020,nacional,2.9027584883873443,2.284309322901866,3.7344623974038735,14,4463,3.136903428187318,fit_poisson_spline_principal.rds
2021,nacional,2.987582147976059,2.3506710947313745,3.7615880252289124,24,3657,6.562756357670222,fit_poisson_spline_principal.rds
2022,nacional,2.9867964620608296,2.3098801020380195,3.7864572060671478,9,3851,2.337055310309011,fit_poisson_spline_principal.rds
2023,nacional,2.922357366364772,2.0839827514420217,3.9249430402040324,6,3671,1.6344320348678834,fit_poisson_spline_principal.rds
2024,nacional,2.847608189766622,1.7680066367275924,4.194263423857762,3,2146,1.3979496738117427,fit_poisson_spline_principal.rds
2009,extranjera,4.731907683808096,2.963950002160705,7.510459961303163,1,207,4.830917874396135,fit_poisson_spline_principal.rds
2010,extranjera,4.433598090021009,2.9444436857559864,6.597614233721086,1,226,4.424778761061947,fit_poisson_spline_principal.rds
2011,extranjera,4.192231081617034,2.8039114401001934,6.123321836047601,0,245,0,fit_poisson_spline_principal.rds
2012,extranjera,4.052398908266517,2.660663200747652,5.973541891336449,1,235,4.25531914893617,fit_poisson_spline_principal.rds
2013,extranjera,4.055281811308061,2.6287367357910743,6.030245078576024,1,249,4.016064257028113,fit_poisson_spline_principal.rds
2014,extranjera,4.197582641133055,2.7191416503074537,6.2607180876977635,0,213,0,fit_poisson_spline_principal.rds
2015,extranjera,4.512455461406748,2.9993717608508557,6.624613680572087,1,321,3.115264797507788,fit_poisson_spline_principal.rds
2016,extranjera,4.9903652589375955,3.4014504255361007,7.17202172012195,2,251,7.968127490039841,fit_poisson_spline_principal.rds
2017,extranjera,5.579120119309733,3.87941490056561,7.885829799467129,3,371,8.086253369272237,fit_poisson_spline_principal.rds
2018,extranjera,6.212687078874209,4.302654114752055,8.755935656855996,5,414,12.077294685990339,fit_poisson_spline_principal.rds
2019,extranjera,6.782654103026888,4.686535432603788,9.616541763120539,4,531,7.532956685499058,fit_poisson_spline_principal.rds
2020,extranjera,7.187788849439738,4.975653656637787,10.137106118255907,2,773,2.5873221216041395,fit_poisson_spline_principal.rds
2021,extranjera,7.381730290616824,5.170343134091043,10.292438480126192,4,561,7.1301247771836005,fit_poisson_spline_principal.rds
2022,extranjera,7.359935946256611,5.11503492439819,10.280148330246536,5,454,11.013215859030836,fit_poisson_spline_principal.rds
2023,extranjera,7.221136180321009,4.733248853373096,10.607235381958159,5,437,11.441647597254004,fit_poisson_spline_principal.rds
2024,extranjera,7.023072099593026,4.044324913691216,11.168607994564935,1,212,4.716981132075472,fit_poisson_spline_principal.rds
