archivo,linea,texto,clasificacion
R/05_diagnostico_modelo_conteos.R,98,"cat(""\n--- Binomial negativa (solo como chequeo de sobredispersion, no modelo final) ---\n"")",Script historico conservado; no alimenta archivos Poisson nuevos
R/06_modelo_bayesiano_primario.R,17,# Familia Poisson primaria segun lo solicitado; binomial negativa queda,Script historico conservado; no alimenta archivos Poisson nuevos
R/10_modelo_final_nb_spline_densidad.R,82,"formula_final, family = negbinomial(), data = estratos,",Script historico conservado; no alimenta archivos Poisson nuevos
R/10_modelo_final_nb_spline_densidad.R,87,"file = ""output/bayes/fit_nb_spline_final_con_densidad_ad999""",Script historico conservado; no alimenta archivos Poisson nuevos
R/10_modelo_final_nb_spline_densidad.R,91,"saveRDS(fit_nb_spline, ""output/bayes/fit_nb_spline_final_con_densidad.rds"")",Script historico conservado; no alimenta archivos Poisson nuevos
R/11_generar_material_articulo.R,23,"""output/bayes/fit_nb_spline_final_con_densidad.rds""",Script historico conservado; no alimenta archivos Poisson nuevos
R/11_generar_material_articulo.R,40,"fit <- readRDS(""output/bayes/fit_nb_spline_final_con_densidad.rds"")",Script historico conservado; no alimenta archivos Poisson nuevos
R/11_generar_material_articulo.R,106,"Parametro = c(""IRR: extranjera vs nacional"", ""Shape binomial negativa""),",Script historico conservado; no alimenta archivos Poisson nuevos
R/11_generar_material_articulo.R,166,"subtitle = ""Puntos: tasas observadas; líneas e intervalos: modelo binomial negativo con spline"",",Script historico conservado; no alimenta archivos Poisson nuevos
R/11_generar_material_articulo.R,272,"""Tabla 3"" = ft(tabla3, ""Tabla 3. Modelo binomial negativo con spline""),",Script historico conservado; no alimenta archivos Poisson nuevos
R/12_cierre_auditoria_articulo.R,49,"fit<-readRDS(""output/bayes/fit_nb_spline_final_con_densidad.rds"")",Script historico conservado; no alimenta archivos Poisson nuevos
