metrica,cadena,valor,fuente_modelo
Rhat maximo,Todas,1.0021317695830418,fit_poisson_spline_principal.rds
ESS bulk minimo,Todas,1746.1706532414146,fit_poisson_spline_principal.rds
ESS tail minimo,Todas,2500.8040838858888,fit_poisson_spline_principal.rds
Divergencias,Todas,0,fit_poisson_spline_principal.rds
Excedencias max_treedepth,Todas,0,fit_poisson_spline_principal.rds
E-BFMI minimo,Todas,0.8055410173376647,fit_poisson_spline_principal.rds
E-BFMI,1,0.8532113510084091,fit_poisson_spline_principal.rds
E-BFMI,2,0.86307370624862,fit_poisson_spline_principal.rds
E-BFMI,3,0.868229168513712,fit_poisson_spline_principal.rds
E-BFMI,4,0.8055410173376647,fit_poisson_spline_principal.rds
