metrica,valor,fuente_modelo
Varianza observada,59.32157258064516,fit_poisson_spline_principal.rds
Mediana varianza replicada,51.46774193548387,fit_poisson_spline_principal.rds
IP95 inferior varianza replicada,32.50645161290323,fit_poisson_spline_principal.rds
IP95 superior varianza replicada,80.25511592741934,fit_poisson_spline_principal.rds
P(varianza replicada >= observada),0.26875,fit_poisson_spline_principal.rds
Maximo observado,26,fit_poisson_spline_principal.rds
P(maximo replicado >= observado),0.42975,fit_poisson_spline_principal.rds
2021 nacional observado,24,fit_poisson_spline_principal.rds
2021 mediana predictiva,11,fit_poisson_spline_principal.rds
2021 IP95 inferior,5,fit_poisson_spline_principal.rds
2021 IP95 superior,18,fit_poisson_spline_principal.rds
P(yrep >= observado 2021 nacional),0.001375,fit_poisson_spline_principal.rds
Percentil observado 2021 nacional,0.999,fit_poisson_spline_principal.rds
