anio,origen,casos,nacimientos,Pareto_k,fuente_modelo
2021,nacional,24,3657,0.6954499797722788,fit_poisson_spline_principal.rds
2012,nacional,24,9507,0.5607685032169003,fit_poisson_spline_principal.rds
2010,nacional,26,11392,0.4649609783027261,fit_poisson_spline_principal.rds
2023,nacional,6,3671,0.369764414581063,fit_poisson_spline_principal.rds
2009,nacional,22,11265,0.35324601745899803,fit_poisson_spline_principal.rds
2014,nacional,16,8710,0.3532164660522768,fit_poisson_spline_principal.rds
2024,nacional,3,2146,0.3412079791586463,fit_poisson_spline_principal.rds
2013,nacional,10,9731,0.3353173746868007,fit_poisson_spline_principal.rds
2023,extranjera,5,437,0.30842354603483335,fit_poisson_spline_principal.rds
2018,extranjera,5,414,0.30132047158038616,fit_poisson_spline_principal.rds
2018,nacional,9,4717,0.2883787283854571,fit_poisson_spline_principal.rds
2011,nacional,13,10804,0.2551174017666634,fit_poisson_spline_principal.rds
2017,nacional,8,5312,0.25293995392238694,fit_poisson_spline_principal.rds
2019,nacional,16,3681,0.23799071665529598,fit_poisson_spline_principal.rds
2022,extranjera,5,454,0.23397558190916856,fit_poisson_spline_principal.rds
2020,extranjera,2,773,0.2192553732675501,fit_poisson_spline_principal.rds
2019,extranjera,4,531,0.18633275378420136,fit_poisson_spline_principal.rds
2021,extranjera,4,561,0.16750704855094506,fit_poisson_spline_principal.rds
2015,nacional,10,7378,0.16275212122946264,fit_poisson_spline_principal.rds
2017,extranjera,3,371,0.16010649627671433,fit_poisson_spline_principal.rds
2020,nacional,14,4463,0.1586236456062444,fit_poisson_spline_principal.rds
2022,nacional,9,3851,0.1322769895314042,fit_poisson_spline_principal.rds
2013,extranjera,1,249,0.12367665877456195,fit_poisson_spline_principal.rds
2014,extranjera,0,213,0.1126315743570928,fit_poisson_spline_principal.rds
2011,extranjera,0,245,0.11106279236772058,fit_poisson_spline_principal.rds
2016,nacional,9,5757,0.10790677262699654,fit_poisson_spline_principal.rds
2024,extranjera,1,212,0.09832681097884576,fit_poisson_spline_principal.rds
2015,extranjera,1,321,0.09663540690854248,fit_poisson_spline_principal.rds
2010,extranjera,1,226,0.05825256118103962,fit_poisson_spline_principal.rds
2009,extranjera,1,207,0.054816131296124414,fit_poisson_spline_principal.rds
2012,extranjera,1,235,0.04987286764975922,fit_poisson_spline_principal.rds
2016,extranjera,2,251,0.048544229512480955,fit_poisson_spline_principal.rds
