anio,origen,tasa_mediana,ICr95_inf,ICr95_sup,casos,nacimientos,tasa_observada
2009,nacional,1.6069981075160018,0.9426980985867914,2.8528866374606103,22,11265,1.9529516200621393
2010,nacional,1.6550945449059231,1.0568145640172246,2.699885902847659,26,11392,2.282303370786517
2011,nacional,1.706644872794401,1.142310782342834,2.6297498439963474,13,10804,1.2032580525731211
2012,nacional,1.7716656517605696,1.2242533494498817,2.645996881020629,24,9507,2.5244556642473968
2013,nacional,1.8553093345667935,1.2897720326917914,2.7100770144964903,10,9731,1.027643613194944
2014,nacional,1.955518903850612,1.3540262713996527,2.8227297654949797,16,8710,1.8369690011481057
2015,nacional,2.080694982991747,1.4542730731610034,2.976899027488521,10,7378,1.3553808620222283
2016,nacional,2.2214730530586566,1.5645948550575224,3.171961215014235,9,5757,1.5633142261594581
2017,nacional,2.3700524324274763,1.6770502018781837,3.3828016953406994,8,5312,1.5060240963855422
2018,nacional,2.5312901457460457,1.793486907819172,3.6349559486863825,9,4717,1.907992368030528
2019,nacional,2.692844734094706,1.8826478426584734,3.930287831347342,16,3681,4.346644933442
2020,nacional,2.844437492585344,1.9565504594328431,4.198093015715891,14,4463,3.136903428187318
2021,nacional,2.9644100639906488,2.002579762508252,4.5183203415987,24,3657,6.562756357670222
2022,nacional,3.0866449312421147,2.006319547939483,4.9055422130327795,9,3851,2.337055310309011
2023,nacional,3.197150754097647,1.938452328342308,5.403298013414733,6,3671,1.6344320348678834
2024,nacional,3.297572319190421,1.8142824773712074,6.09129363701277,3,2146,1.3979496738117427
2009,extranjera,3.8147782461285686,1.8673326921008702,7.835393834222236,1,207,4.830917874396135
2010,extranjera,3.9348596720627382,2.0704013763191864,7.455785572428439,1,226,4.424778761061947
2011,extranjera,4.064331248472719,2.2482414619958906,7.2461284594439235,0,245,0
2012,extranjera,4.217268808628464,2.4295384084915006,7.209794633518383,1,235,4.25531914893617
2013,extranjera,4.410765658906499,2.583926166180757,7.32719390192317,1,249,4.016064257028113
2014,extranjera,4.635659130738592,2.7636459136402247,7.565135251727389,0,213,0
2015,extranjera,4.92246771468248,2.9949163404748567,7.913375559867529,1,321,3.115264797507788
2016,extranjera,5.266471777718738,3.279647220761441,8.352252609160297,2,251,7.968127490039841
2017,extranjera,5.6371427112026264,3.5657694114146525,8.904453475496643,3,371,8.086253369272237
2018,extranjera,6.0143235141356755,3.828381156309338,9.437451587721299,5,414,12.077294685990339
2019,extranjera,6.382708522142688,4.082593562919955,10.027142938037949,4,531,7.532956685499058
2020,extranjera,6.738201731973979,4.285322182345486,10.583811866188945,2,773,2.5873221216041395
2021,extranjera,7.077471676686766,4.452901718883499,11.211686007948467,4,561,7.1301247771836005
2022,extranjera,7.359361244047598,4.503927276452531,11.966413478103812,5,454,11.013215859030836
2023,extranjera,7.609146134900318,4.41291646614088,13.138458621690445,5,437,11.441647597254004
2024,extranjera,7.8776082502934806,4.137813314949173,14.645919308868516,1,212,4.716981132075472
