Caracteristica,Total,Nacional,Extranjera
"Casos, n",255,219,36
"Edad materna, mediana [RIC]",26.0 [21.0–32.0],25.0 [21.0–32.0],26.5 [21.0–30.2]
"Consultas prenatales, mediana [RIC]",6.0 [4.0–8.0],6.0 [4.0–8.0],5.0 [2.0–7.0]
"Densidad de controles/semana, mediana [RIC]",0.2 [0.1–0.2],0.2 [0.1–0.2],0.1 [0.1–0.2]
"Control prenatal subóptimo por densidad, n (%)",179 (71.6%),150 (70.1%),29 (80.6%)
"Edad gestacional, mediana [RIC]",39.0 [37.0–39.0],39.0 [37.0–39.0],38.0 [37.0–39.0]
"Prematuro, n (%)",32 (12.6%),28 (12.8%),4 (11.1%)
"Peso al nacer (g), mediana [RIC]",2925.0 [2616.0–3232.5],2940.0 [2620.0–3280.0],2905.0 [2554.2–3155.0]
"Pequeño para EG, n (%)",54 (21.2%),47 (21.5%),7 (19.4%)
"Cesárea, n (%)",105 (41.2%),93 (42.5%),12 (33.3%)
"Trastorno hipertensivo, n (%)",28 (11.1%),26 (12.0%),2 (5.6%)
"Defecto congénito, n (%)",21 (8.2%),20 (9.1%),1 (2.8%)
"Fallecimiento neonatal, n (%)",2 (0.8%),2 (0.9%),0 (0.0%)
