anio,origen,casos,nacimientos,tasa_1000,log_nacimientos,anio_c
2009,nacional,22,11265,1.9529516200621393,9.329455852866344,-7.5
2010,nacional,26,11392,2.282303370786517,9.340666633651757,-6.5
2011,nacional,13,10804,1.2032580525731211,9.287671714912506,-5.5
2012,nacional,24,9507,2.5244556642473968,9.15978364835903,-4.5
2013,nacional,10,9731,1.027643613194944,9.18307194482199,-3.5
2014,nacional,16,8710,1.8369690011481057,9.072227069846548,-2.5
2015,nacional,10,7378,1.3553808620222283,8.906257878156621,-1.5
2016,nacional,9,5757,1.5633142261594581,8.65817178467581,-0.5
2017,nacional,8,5312,1.5060240963855422,8.57772369115627,0.5
2018,nacional,9,4717,1.907992368030528,8.458928283284262,1.5
2019,nacional,16,3681,4.346644933442,8.210939733379021,2.5
2020,nacional,14,4463,3.136903428187318,8.40357646462927,3.5
2021,nacional,24,3657,6.562756357670222,8.204398418149381,4.5
2022,nacional,9,3851,2.337055310309011,8.25608813381491,5.5
2023,nacional,6,3671,1.6344320348678834,8.208219383496834,6.5
2024,nacional,3,2146,1.3979496738117427,7.671360923190644,7.5
2009,extranjera,1,207,4.830917874396135,5.332718793265369,-7.5
2010,extranjera,1,226,4.424778761061947,5.420534999272286,-6.5
2011,extranjera,0,245,0,5.501258210544727,-5.5
2012,extranjera,1,235,4.25531914893617,5.459585514144159,-4.5
2013,extranjera,1,249,4.016064257028113,5.517452896464707,-3.5
2014,extranjera,0,213,0,5.3612921657094255,-2.5
2015,extranjera,1,321,3.115264797507788,5.771441123130016,-1.5
2016,extranjera,2,251,7.968127490039841,5.5254529391317835,-0.5
2017,extranjera,3,371,8.086253369272237,5.916202062607435,0.5
2018,extranjera,5,414,12.077294685990339,6.025865973825314,1.5
2019,extranjera,4,531,7.532956685499058,6.274762021241939,2.5
2020,extranjera,2,773,2.5873221216041395,6.650279048587422,3.5
2021,extranjera,4,561,7.1301247771836005,6.329720905522696,4.5
2022,extranjera,5,454,11.013215859030836,6.118097198041348,5.5
2023,extranjera,5,437,11.441647597254004,6.07993319509559,6.5
2024,extranjera,1,212,4.716981132075472,5.356586274672012,7.5
