anio,origen,casos,nacimientos,pareto_k
2009,nacional,22,11265,0.47252613451448083
2010,nacional,26,11392,0.3689255828087339
2011,nacional,13,10804,0.2813177415943864
2012,nacional,24,9507,0.23218651190058437
2013,nacional,10,9731,0.13098717304088012
2014,nacional,16,8710,0.07457342903565908
2015,nacional,10,7378,0.24791476558583253
2016,nacional,9,5757,0.2443502371673767
2017,nacional,8,5312,0.25083929459296384
2018,nacional,9,4717,0.25452101415225337
2019,nacional,16,3681,0.24542125129783401
2020,nacional,14,4463,0.11781012384171267
2021,nacional,24,3657,0.45382694430156656
2022,nacional,9,3851,0.15042985556588256
2023,nacional,6,3671,0.3280319608575316
2024,nacional,3,2146,0.37440020707276456
2009,extranjera,1,207,0.11559728463904205
2010,extranjera,1,226,0.12417501592816761
2011,extranjera,0,245,0.085395038388199
2012,extranjera,1,235,0.17173513816882863
2013,extranjera,1,249,0.1695414179057255
2014,extranjera,0,213,0.11292615501933413
2015,extranjera,1,321,0.10546338292950568
2016,extranjera,2,251,0.13387024085178917
2017,extranjera,3,371,0.15791297769277435
2018,extranjera,5,414,0.2290466463833252
2019,extranjera,4,531,0.19805452534538215
2020,extranjera,2,773,0.1625605881760998
2021,extranjera,4,561,0.29846226032480944
2022,extranjera,5,454,0.27628125166090933
2023,extranjera,5,437,0.3240977086949669
2024,extranjera,1,212,0.16348909668633413
