anio,casos_total,casos_nacionales,casos_extranjeras,casos_sin_clasificar,nacimientos_total,nacimientos_nacionales,nacimientos_extranjeras,suma_paises,diff_extranjeras_vs_suma_paises
2009,23,22,1,0,11472,11265,207,207,0
2010,27,26,1,0,11618,11392,226,226,0
2011,13,13,0,0,11049,10804,245,245,0
2012,25,24,1,0,9742,9507,235,235,0
2013,11,10,1,0,9980,9731,249,249,0
2014,16,16,0,0,8923,8710,213,213,0
2015,11,10,1,0,7699,7378,321,321,0
2016,11,9,2,0,6008,5757,251,251,0
2017,11,8,3,0,5683,5312,371,371,0
2018,14,9,5,0,5131,4717,414,414,0
2019,20,16,4,0,4212,3681,531,531,0
2020,16,14,2,0,5236,4463,773,773,0
2021,28,24,4,0,4218,3657,561,561,0
2022,14,9,5,0,4305,3851,454,454,0
2023,11,6,5,0,4108,3671,437,437,0
2024,4,3,1,0,2358,2146,212,212,0
