variable,dominio,nivel_propuesto,n_valido,missing_pct,categoria_minoritaria_n,justificacion
Año,A,descriptivo,255,0,NA,"Util para describir tendencia temporal de casos/practica clinica, no como exposicion/desenlace de un modelo individual."
Extrangera,A,principal,255,0,36,"Variable de exposicion candidata (origen materno) coherente con el foco poblacional del proyecto y con denominadores ya auditados; sin missing, 36/255 extranjeras."
Edad.materna,B,principal,255,0,NA,"Determinante sociodemografico clasico de sifilis congenita, continua, sin missing, rango plausible (15-46). Preferible a sus versiones categorizadas."
Edad.materna.CODIGO,L,exclusion,255,0,14,Duplicado exacto de CATEGORIA.Edad.materna; no aporta sobre Edad.materna continua.
CATEGORIA.Edad.materna,L,secundario,255,0,14,"Categorizacion de Edad.materna; util solo como tabla descriptiva/sensibilidad, no como variable primaria si la continua esta disponible."
PAREJA.ESTABLE.CATEGORIA,B,secundario,255,0,76,"Proxy de soporte social/estabilidad familiar, plausible pero indirecto; sin missing. Secundario por ser un proxy y no una exposicion biologica directa."
Estudios.CODIGO,M,exclusion,255,0,8,Codigo 0-3 sin diccionario de categorias en la base; no se puede interpretar ni reportar sin asumir un significado no documentado.
Etnia.CATEGORIA,B,secundario,255,0,4,"Relevante para equidad en salud, pero con categorias minoritarias pequenas (blanca n=4, indigena n=13, otra n=12) y 1 inconsistencia con ETNIA.MINORITARIA: adecuada para describir, riesgosa para modelar."
ETNIA.MINORITARIA,L,exclusion,255,0,48,Derivada de Etnia.CATEGORIA con 1 caso inconsistente (mestiza codificada como minoritaria); preferible usar Etnia.CATEGORIA directamente y corregir/decidir el criterio de 'minoritaria' de forma explicita antes de usarla.
Alfabeta,B,descriptivo,255,0,13,Perfil sociodemografico basico; categoria minoritaria pequena (n=13 analfabetas) limita su uso como covariable de un modelo multivariable.
Numero.gestas.previas,C,principal,255,0,1,"Variable continua/discreta de antecedente reproductivo, clinicamente relevante y sin missing; preferible a sus derivadas categoricas."
GESTAS.PREVIAS.CATEGORIA,L,secundario,255,0,45,Categorizacion de Numero.gestas.previas; util para tablas descriptivas.
Gestas.previas.CODIGO,L,exclusion,255,0,59,Binarizacion burda (nuligesta si/no) de Numero.gestas.previas; pierde informacion sin ganancia interpretativa sobre la CATEGORIA o la variable continua.
Abortos.previos..CATEGORIA,C,secundario,255,0,86,"Antecedente reproductivo clasico, binaria, sin missing (86 si/169 no); secundario por ausencia de detalle de numero de abortos."
Partos.previo.SI.NO,C,secundario,255,0,109,Redundante en gran medida con Numero.gestas.previas; se mantiene solo si se necesita el flag binario simple.
CODIGO.PARTO.PREVIO,L,exclusion,255,0,109,Duplicado exacto de Partos.previo.SI.NO.
Cesáreas.previas.CATEGORIA,C,descriptivo,196,23.1,49,"Missing 23.1% es estructural (nuliparas): valida para describir el subgrupo con partos previos, pero requiere manejo explicito de 'no aplica' antes de cualquier modelo, no imputacion."
Preclampsia.personal,D,secundario,255,0,16,"DECISION DEL INVESTIGADOR (2026-08-10): la definicion operativa de trastorno hipertensivo del embarazo para el articulo es TRASTORNOS.HIPERTENSIVOS.CATEGORIA, no esta variable. Se mantiene solo como dato secundario/de contexto (posible antecedente), no como exposicion."
Hipertensión.personal,D,exclusion,255,0,3,"Solo 3 casos positivos: frecuencia insuficiente para cualquier analisis inferencial, incluso descriptivo tabular fino."
Eclampsia.personal,D,exclusion,255,0,NA,"Constante (0 en 255/255 casos): sin variabilidad, no aporta informacion."
Embarazo.múltiple.CODIGO,F,descriptivo,255,0,7,"Solo 7 casos positivos; reportable como caracteristica descriptiva de la muestra, insuficiente para ajustar modelos."
Embarazo.planeado,D,secundario,255,0,82,"Proxy psicosocial relevante para acceso a control prenatal; sin missing, balance aceptable (82 si/173 no). Secundario por ser proxy indirecto."
Embarazo.planeado.CODIGO,L,exclusion,255,0,82,Duplicado exacto de Embarazo.planeado.
ANTICONCEPTIVO.CODIGO,D,descriptivo,255,0,59,Historia de anticoncepcion previa; relevante para contexto reproductivo pero alejada del mecanismo de transmision de sifilis; descriptivo.
FOLATOS.CODIGO,D,descriptivo,255,0,58,Marcador de calidad de control prenatal mas que de exposicion a sifilis; util como covariable descriptiva del cuidado prenatal.
Hierro,D,descriptivo,232,9,30,"Mismo rol que FOLATOS.CODIGO; 9% missing, sin evidencia de relacion directa con el desenlace de interes."
Alcohol.CODIGO,D,descriptivo,251,1.6,1,"Solo 17/251 casos con consumo (codigos 1-3, y 2-3 con n=1 cada uno): reportable como descriptivo binario (expuesta/no), inutil como variable ordinal de 4 niveles por baja frecuencia."
DROGAS,D,descriptivo,255,0,7,"Solo 7 casos positivos: describe la muestra, no permite estimar asociacion con estabilidad."
TABACO.ACTIVO,D,descriptivo,252,1.2,9,Solo 9 casos positivos: mismo problema de frecuencia que DROGAS.
TABACO.PASIVO,D,secundario,252,1.2,32,"32/252 casos (12.7%), frecuencia algo mas robusta que tabaco activo; posible covariable secundaria de exposicion ambiental."
VIOLENCIA.CODIGO,D,exclusion,213,16.5,5,"16.5% missing y solo 5 casos positivos entre los validos: alto missing + baja frecuencia simultaneos, alto riesgo de sesgo si se analiza."
Hemorragia.1er..trim.,F,descriptivo,253,0.8,7,"Complicacion obstetrica con 7 casos positivos: describe la muestra, no permite modelar con confianza."
