variable,tipo_variable,clase_r,n_valido,missing_n,missing_pct,n_unicos,rango_min,rango_max,categoria_minoritaria_n,top_categorias
Año,numerica_continua_discreta,numeric,255,0,0,16,2009,2024,NA,2021=28; 2010=27; 2012=25; 2009=23; 2019=20; 2014=16; 2020=16; 2018=14
Extrangera,binaria,character,255,0,0,2,NA,NA,36,no=219; si=36
Edad.materna,numerica_continua_discreta,numeric,255,0,0,31,15,46,NA,22=23; 29=16; 20=15; 24=15; 23=12; 27=12; 28=12; 16=11
Edad.materna.CODIGO,numerica_discreta_baja_cardinalidad,numeric,255,0,0,4,1,4,14,2=135; 3=64; 1=42; 4=14
CATEGORIA.Edad.materna,categorica_nominal_ordinal,character,255,0,0,4,NA,NA,14,20 A 29=135; 30 A 39=64; MENOR DE 20=42; 40 O MAS=14
PAREJA.ESTABLE.CATEGORIA,binaria,character,255,0,0,2,NA,NA,76,SI=179; NO=76
Estudios.CODIGO,numerica_discreta_baja_cardinalidad,numeric,255,0,0,4,0,3,8,2=158; 1=74; 3=15; 0=8
Etnia.CATEGORIA,categorica_nominal_ordinal,character,255,0,0,5,NA,NA,4,mestiza=208; negra=18; indígena=13; otra=12; blanca=4
ETNIA.MINORITARIA,binaria,numeric,255,0,0,2,0,1,48,0=207; 1=48
Alfabeta,binaria,numeric,255,0,0,2,0,1,13,1=242; 0=13
Numero.gestas.previas,numerica_discreta_baja_cardinalidad,numeric,255,0,0,11,0,10,1,1=61; 0=59; 2=54; 3=36; 4=20; 5=12; 6=4; 7=3
GESTAS.PREVIAS.CATEGORIA,categorica_nominal_ordinal,character,255,0,0,3,NA,NA,45,UNO A TRES=151; NINGUNA=59; 4 O MAS=45
Gestas.previas.CODIGO,binaria,numeric,255,0,0,2,0,1,59,1=196; 0=59
Abortos.previos..CATEGORIA,binaria,character,255,0,0,2,NA,NA,86,No=169; Si=86
Partos.previo.SI.NO,binaria,character,255,0,0,2,NA,NA,109,si=146; no=109
CODIGO.PARTO.PREVIO,binaria,numeric,255,0,0,2,0,1,109,1=146; 0=109
Cesáreas.previas.CATEGORIA,binaria,character,196,59,23.1,2,NA,NA,49,No=147; Si=49
Preclampsia.personal,binaria,numeric,255,0,0,2,0,1,16,0=239; 1=16
Hipertensión.personal,binaria,numeric,255,0,0,2,0,1,3,0=252; 1=3
Eclampsia.personal,constante,numeric,255,0,0,1,0,0,NA,0=255
Embarazo.múltiple.CODIGO,binaria,numeric,255,0,0,2,0,1,7,0=248; 1=7
Embarazo.planeado,binaria,character,255,0,0,2,NA,NA,82,no=173; si=82
Embarazo.planeado.CODIGO,binaria,numeric,255,0,0,2,0,1,82,0=173; 1=82
ANTICONCEPTIVO.CODIGO,binaria,numeric,255,0,0,2,0,1,59,0=196; 1=59
FOLATOS.CODIGO,binaria,numeric,255,0,0,2,0,1,58,1=197; 0=58
Hierro,binaria,numeric,232,23,9,2,0,1,30,1=202; 0=30
Alcohol.CODIGO,numerica_discreta_baja_cardinalidad,numeric,251,4,1.6,4,0,3,1,0=234; 1=15; 2=1; 3=1
DROGAS,binaria,numeric,255,0,0,2,0,1,7,0=248; 1=7
TABACO.ACTIVO,binaria,numeric,252,3,1.2,2,0,1,9,0=243; 1=9
TABACO.PASIVO,binaria,numeric,252,3,1.2,2,0,1,32,0=220; 1=32
VIOLENCIA.CODIGO,binaria,numeric,213,42,16.5,2,0,1,5,0=208; 1=5
Hemorragia.1er..trim.,binaria,numeric,253,2,0.8,2,0,1,7,0=246; 1=7
Hemorragia.2do..trim.,binaria,numeric,253,2,0.8,2,0,1,6,0=247; 1=6
Hemorragia.3er..trim.,binaria,numeric,250,5,2,2,0,1,8,0=242; 1=8
Número.Consultas.prenatales,numerica_continua_discreta,numeric,251,4,1.6,15,0,15,NA,6=41; 7=29; 3=28; 5=28; 8=26; 4=25; 9=20; 10=15
Consultas.prenatales.CATEGORIA,categorica_nominal_ordinal,character,251,4,1.6,4,NA,NA,11,5 A 7=98; 8 O MAS=73; 1 A 4=69; NINGUNA=11
TIPO.DE.PARTO,binaria,character,255,0,0,2,NA,NA,105,vaginal=150; cesárea=105
Motivo.principal.de.induccion.o.cirugia,texto_alta_cardinalidad,character,102,153,60,18,NA,NA,NA,ITERATIVA=37; COMPROMISO DEL BIENESTAR FETAL=14; EMBARAZO MULTIPLE=7; DESPRENDIMIENTO PLACENTARIO=6; DESPROPORCION CEFALOPELVICA=6; PREECLAMPSIA=6; PELVIANO=5; SIFILIS=4
Edad.gestaciol.RN,numerica_continua_discreta,numeric,254,1,0.4,13,29,42,NA,39=80; 37=46; 38=40; 40=39; 41=16; 36=13; 35=6; 33=5
Edad.gestacional.CATEGORIA,numerica_discreta_baja_cardinalidad,numeric,254,1,0.4,3,1,3,1,2=221; 1=32; 3=1
