anio,origen,casos,nacimientos,anio_c
2009,nacional,22,11265,-7.5
2010,nacional,26,11392,-6.5
2011,nacional,13,10804,-5.5
2012,nacional,24,9507,-4.5
2013,nacional,10,9731,-3.5
2014,nacional,16,8710,-2.5
2015,nacional,10,7378,-1.5
2016,nacional,9,5757,-0.5
2017,nacional,8,5312,0.5
2018,nacional,9,4717,1.5
2019,nacional,16,3681,2.5
2020,nacional,14,4463,3.5
2021,nacional,24,3657,4.5
2022,nacional,9,3851,5.5
2023,nacional,6,3671,6.5
2024,nacional,3,2146,7.5
2009,extranjera,1,207,-7.5
2010,extranjera,1,226,-6.5
2011,extranjera,0,245,-5.5
2012,extranjera,1,235,-4.5
2013,extranjera,1,249,-3.5
2014,extranjera,0,213,-2.5
2015,extranjera,1,321,-1.5
2016,extranjera,2,251,-0.5
2017,extranjera,3,371,0.5
2018,extranjera,5,414,1.5
2019,extranjera,4,531,2.5
2020,extranjera,2,773,3.5
2021,extranjera,4,561,4.5
2022,extranjera,5,454,5.5
2023,extranjera,5,437,6.5
2024,extranjera,1,212,7.5
