anio,origen,casos,nacimientos,anio_c,casos_recontados,n_densidad_valida,pct_densidad_ok,media_densidad,log_nacimientos
2009,nacional,22,11265,-7.5,22,20,15,0.13966465383386104,9.329455852866344
2010,nacional,26,11392,-6.5,26,26,23.076923076923077,0.15277620712719944,9.340666633651757
2011,nacional,13,10804,-5.5,13,13,23.076923076923077,0.15346429648727952,9.287671714912506
2012,nacional,24,9507,-4.5,24,24,37.5,0.16165689756431087,9.15978364835903
2013,nacional,10,9731,-3.5,10,10,50,0.15267816978343288,9.18307194482199
2014,nacional,16,8710,-2.5,16,16,25,0.15281370215179585,9.072227069846548
2015,nacional,10,7378,-1.5,10,9,22.22222222222222,0.15709555709555711,8.906257878156621
2016,nacional,9,5757,-0.5,9,9,11.11111111111111,0.14538675883348545,8.65817178467581
2017,nacional,8,5312,0.5,8,8,50,0.21203228291241774,8.57772369115627
2018,nacional,9,4717,1.5,9,9,22.22222222222222,0.15661495761926175,8.458928283284262
2019,nacional,16,3681,2.5,16,16,43.75,0.18306729175742276,8.210939733379021
2020,nacional,14,4463,3.5,14,14,14.285714285714285,0.13595316687421943,8.40357646462927
2021,nacional,24,3657,4.5,24,23,39.130434782608695,0.17559778120976977,8.204398418149381
2022,nacional,9,3851,5.5,9,9,33.33333333333333,0.16768630979157298,8.25608813381491
2023,nacional,6,3671,6.5,6,5,60,0.18310099573257468,8.208219383496834
2024,nacional,3,2146,7.5,3,3,33.33333333333333,0.13219814241486053,7.671360923190644
2009,extranjera,1,207,-7.5,1,1,0,0,5.332718793265369
2010,extranjera,1,226,-6.5,1,1,0,0,5.420534999272286
2011,extranjera,0,245,-5.5,0,0,NA,NA,5.501258210544727
2012,extranjera,1,235,-4.5,1,1,0,0,5.459585514144159
2013,extranjera,1,249,-3.5,1,1,0,0,5.517452896464707
2014,extranjera,0,213,-2.5,0,0,NA,NA,5.3612921657094255
2015,extranjera,1,321,-1.5,1,1,0,0.0540540540540541,5.771441123130016
2016,extranjera,2,251,-0.5,2,2,0,0.09182259182259206,5.5254529391317835
2017,extranjera,3,371,0.5,3,3,0,0.0981507823613087,5.916202062607435
2018,extranjera,5,414,1.5,5,5,40,0.1717879417879416,6.025865973825314
2019,extranjera,4,531,2.5,4,4,50,0.12539086929330823,6.274762021241939
2020,extranjera,2,773,3.5,2,2,0,0.181848852901484,6.650279048587422
2021,extranjera,4,561,4.5,4,4,0,0.07894736842105249,6.329720905522696
2022,extranjera,5,454,5.5,5,5,40,0.19184025971762902,6.118097198041348
2023,extranjera,5,437,6.5,5,5,20,0.14819819819819807,6.07993319509559
2024,extranjera,1,212,7.5,1,1,0,0.128205128205128,5.356586274672012
