variable,categoria,n,pct_sobre_validos
Año,2021,28,11
Año,2010,27,10.6
Año,2012,25,9.8
Año,2009,23,9
Año,2019,20,7.8
Año,2014,16,6.3
Año,2020,16,6.3
Año,2018,14,5.5
Año,2022,14,5.5
Año,2011,13,5.1
Año,2013,11,4.3
Año,2015,11,4.3
Año,2016,11,4.3
Año,2017,11,4.3
Año,2023,11,4.3
Año,2024,4,1.6
Extrangera,no,219,85.9
Extrangera,si,36,14.1
Edad.materna,22,23,9
Edad.materna,29,16,6.3
Edad.materna,20,15,5.9
Edad.materna,24,15,5.9
Edad.materna,23,12,4.7
Edad.materna,27,12,4.7
Edad.materna,28,12,4.7
Edad.materna,16,11,4.3
Edad.materna,18,11,4.3
Edad.materna,19,11,4.3
Edad.materna,35,11,4.3
Edad.materna,21,10,3.9
Edad.materna,25,10,3.9
Edad.materna,26,10,3.9
Edad.materna,32,9,3.5
Edad.materna,30,7,2.7
Edad.materna,33,7,2.7
Edad.materna,34,7,2.7
Edad.materna,17,6,2.4
Edad.materna,31,6,2.4
Edad.materna,36,6,2.4
Edad.materna,37,6,2.4
Edad.materna,40,5,2
Edad.materna,41,5,2
Edad.materna,15,3,1.2
Edad.materna,38,3,1.2
Edad.materna,39,2,0.8
Edad.materna,42,1,0.4
Edad.materna,43,1,0.4
Edad.materna,44,1,0.4
Edad.materna,46,1,0.4
Edad.materna.CODIGO,2,135,52.9
Edad.materna.CODIGO,3,64,25.1
Edad.materna.CODIGO,1,42,16.5
Edad.materna.CODIGO,4,14,5.5
CATEGORIA.Edad.materna,20 A 29,135,52.9
CATEGORIA.Edad.materna,30 A 39,64,25.1
CATEGORIA.Edad.materna,MENOR DE 20,42,16.5
CATEGORIA.Edad.materna,40 O MAS,14,5.5
PAREJA.ESTABLE.CATEGORIA,SI,179,70.2
PAREJA.ESTABLE.CATEGORIA,NO,76,29.8
Estudios.CODIGO,2,158,62
Estudios.CODIGO,1,74,29
Estudios.CODIGO,3,15,5.9
Estudios.CODIGO,0,8,3.1
Etnia.CATEGORIA,mestiza,208,81.6
Etnia.CATEGORIA,negra,18,7.1
Etnia.CATEGORIA,indígena,13,5.1
Etnia.CATEGORIA,otra,12,4.7
Etnia.CATEGORIA,blanca,4,1.6
ETNIA.MINORITARIA,0,207,81.2
ETNIA.MINORITARIA,1,48,18.8
Alfabeta,1,242,94.9
Alfabeta,0,13,5.1
Numero.gestas.previas,1,61,23.9
Numero.gestas.previas,0,59,23.1
Numero.gestas.previas,2,54,21.2
Numero.gestas.previas,3,36,14.1
Numero.gestas.previas,4,20,7.8
Numero.gestas.previas,5,12,4.7
Numero.gestas.previas,6,4,1.6
Numero.gestas.previas,7,3,1.2
Numero.gestas.previas,8,3,1.2
Numero.gestas.previas,10,2,0.8
Numero.gestas.previas,9,1,0.4
GESTAS.PREVIAS.CATEGORIA,UNO A TRES,151,59.2
GESTAS.PREVIAS.CATEGORIA,NINGUNA,59,23.1
GESTAS.PREVIAS.CATEGORIA,4 O MAS,45,17.6
Gestas.previas.CODIGO,1,196,76.9
Gestas.previas.CODIGO,0,59,23.1
Abortos.previos..CATEGORIA,No,169,66.3
Abortos.previos..CATEGORIA,Si,86,33.7
Partos.previo.SI.NO,si,146,57.3
Partos.previo.SI.NO,no,109,42.7
CODIGO.PARTO.PREVIO,1,146,57.3
CODIGO.PARTO.PREVIO,0,109,42.7
Cesáreas.previas.CATEGORIA,No,147,75
Cesáreas.previas.CATEGORIA,Si,49,25
Preclampsia.personal,0,239,93.7
Preclampsia.personal,1,16,6.3
Hipertensión.personal,0,252,98.8
Hipertensión.personal,1,3,1.2
Eclampsia.personal,0,255,100
Embarazo.múltiple.CODIGO,0,248,97.3
Embarazo.múltiple.CODIGO,1,7,2.7
Embarazo.planeado,no,173,67.8
Embarazo.planeado,si,82,32.2
Embarazo.planeado.CODIGO,0,173,67.8
Embarazo.planeado.CODIGO,1,82,32.2
ANTICONCEPTIVO.CODIGO,0,196,76.9
ANTICONCEPTIVO.CODIGO,1,59,23.1
FOLATOS.CODIGO,1,197,77.3
FOLATOS.CODIGO,0,58,22.7
Hierro,1,202,87.1
Hierro,0,30,12.9
Alcohol.CODIGO,0,234,93.2
Alcohol.CODIGO,1,15,6
Alcohol.CODIGO,2,1,0.4
Alcohol.CODIGO,3,1,0.4
DROGAS,0,248,97.3
DROGAS,1,7,2.7
TABACO.ACTIVO,0,243,96.4
TABACO.ACTIVO,1,9,3.6
TABACO.PASIVO,0,220,87.3
TABACO.PASIVO,1,32,12.7
VIOLENCIA.CODIGO,0,208,97.7
VIOLENCIA.CODIGO,1,5,2.3
Hemorragia.1er..trim.,0,246,97.2
Hemorragia.1er..trim.,1,7,2.8
Hemorragia.2do..trim.,0,247,97.6
Hemorragia.2do..trim.,1,6,2.4
Hemorragia.3er..trim.,0,242,96.8
Hemorragia.3er..trim.,1,8,3.2
Número.Consultas.prenatales,6,41,16.3
Número.Consultas.prenatales,7,29,11.6
Número.Consultas.prenatales,3,28,11.2
Número.Consultas.prenatales,5,28,11.2
Número.Consultas.prenatales,8,26,10.4
Número.Consultas.prenatales,4,25,10
Número.Consultas.prenatales,9,20,8
Número.Consultas.prenatales,10,15,6
Número.Consultas.prenatales,0,11,4.4
Número.Consultas.prenatales,2,11,4.4
Número.Consultas.prenatales,12,7,2.8
Número.Consultas.prenatales,1,5,2
Número.Consultas.prenatales,11,2,0.8
Número.Consultas.prenatales,13,2,0.8
Número.Consultas.prenatales,15,1,0.4
Consultas.prenatales.CATEGORIA,5 A 7,98,39
Consultas.prenatales.CATEGORIA,8 O MAS,73,29.1
Consultas.prenatales.CATEGORIA,1 A 4,69,27.5
Consultas.prenatales.CATEGORIA,NINGUNA,11,4.4
TIPO.DE.PARTO,vaginal,150,58.8
TIPO.DE.PARTO,cesárea,105,41.2
Motivo.principal.de.induccion.o.cirugia,ITERATIVA,37,36.3
Motivo.principal.de.induccion.o.cirugia,COMPROMISO DEL BIENESTAR FETAL,14,13.7
Motivo.principal.de.induccion.o.cirugia,EMBARAZO MULTIPLE,7,6.9
Motivo.principal.de.induccion.o.cirugia,DESPRENDIMIENTO PLACENTARIO,6,5.9
Motivo.principal.de.induccion.o.cirugia,DESPROPORCION CEFALOPELVICA,6,5.9
Motivo.principal.de.induccion.o.cirugia,PREECLAMPSIA,6,5.9
Motivo.principal.de.induccion.o.cirugia,PELVIANO,5,4.9
Motivo.principal.de.induccion.o.cirugia,SIFILIS,4,3.9
Motivo.principal.de.induccion.o.cirugia,VIH POSITIVO,4,3.9
Motivo.principal.de.induccion.o.cirugia,MALFORMACION FETAL,3,2.9
Motivo.principal.de.induccion.o.cirugia,INDUCCION FALLIDA,2,2
Motivo.principal.de.induccion.o.cirugia,PATOLOGIA PLACENTARIA,2,2
Motivo.principal.de.induccion.o.cirugia,DISTOCIA DE LABOR,1,1
Motivo.principal.de.induccion.o.cirugia,DISTOCIA DE PRESENTACION,1,1
Motivo.principal.de.induccion.o.cirugia,MACROSOMIA FETAL,1,1
Motivo.principal.de.induccion.o.cirugia,MALFORMACIONES UTEROVAGINALES MATERNOS,1,1
Motivo.principal.de.induccion.o.cirugia,PATOLOGIA CERVIX,1,1
Motivo.principal.de.induccion.o.cirugia,RPM,1,1
Edad.gestaciol.RN,39,80,31.5
Edad.gestaciol.RN,37,46,18.1
Edad.gestaciol.RN,38,40,15.7
Edad.gestaciol.RN,40,39,15.4
Edad.gestaciol.RN,41,16,6.3
Edad.gestaciol.RN,36,13,5.1
Edad.gestaciol.RN,35,6,2.4
Edad.gestaciol.RN,33,5,2
Edad.gestaciol.RN,34,4,1.6
Edad.gestaciol.RN,32,2,0.8
