variable,n_valido,missing_n,missing_pct
SISTEMA.AFECTADO,20,235,92.2
Tipos.de.defectos,21,234,91.8
Defectos.congénitos.CIE,22,233,91.4
Motivo.principal.de.induccion.o.cirugia,102,153,60
Cesáreas.previas.CATEGORIA,196,59,23.1
VIOLENCIA.CODIGO,213,42,16.5
Hierro,232,23,9
Apgar.1er..Minuto,249,6,2.4
Apgar.1.minuto..7.SI.NO,249,6,2.4
CODIGO.Apgar.1.minuto..7,249,6,2.4
Apgar.5to..Minuto,249,6,2.4
Apgar.5to...7..SI.NO,249,6,2.4
CODIGO.Apgar.5to.,249,6,2.4
Hemorragia.3er..trim.,250,5,2
Alcohol.CODIGO,251,4,1.6
Número.Consultas.prenatales,251,4,1.6
Consultas.prenatales.CATEGORIA,251,4,1.6
TABACO.ACTIVO,252,3,1.2
TABACO.PASIVO,252,3,1.2
Hemorragia.1er..trim.,253,2,0.8
Hemorragia.2do..trim.,253,2,0.8
TRASTORNOS.HIPERTENSIVOS.CATEGORIA,253,2,0.8
Edad.gestaciol.RN,254,1,0.4
Edad.gestacional.CATEGORIA,254,1,0.4
PREMATURO.CODIGO,254,1,0.4
A.TERMINO.CODIGO,254,1,0.4
POSTERMINO.CODIGO,254,1,0.4
RN.vivo.CODIGO,254,1,0.4
Año,255,0,0
Extrangera,255,0,0
Edad.materna,255,0,0
Edad.materna.CODIGO,255,0,0
CATEGORIA.Edad.materna,255,0,0
PAREJA.ESTABLE.CATEGORIA,255,0,0
Estudios.CODIGO,255,0,0
Etnia.CATEGORIA,255,0,0
ETNIA.MINORITARIA,255,0,0
Alfabeta,255,0,0
Numero.gestas.previas,255,0,0
GESTAS.PREVIAS.CATEGORIA,255,0,0
Gestas.previas.CODIGO,255,0,0
Abortos.previos..CATEGORIA,255,0,0
Partos.previo.SI.NO,255,0,0
CODIGO.PARTO.PREVIO,255,0,0
Preclampsia.personal,255,0,0
Hipertensión.personal,255,0,0
Eclampsia.personal,255,0,0
Embarazo.múltiple.CODIGO,255,0,0
Embarazo.planeado,255,0,0
Embarazo.planeado.CODIGO,255,0,0
ANTICONCEPTIVO.CODIGO,255,0,0
FOLATOS.CODIGO,255,0,0
DROGAS,255,0,0
TIPO.DE.PARTO,255,0,0
Peso.al.nacer.GRAMOS,255,0,0
PESO.EG.CATEGORIA,255,0,0
RCIU,255,0,0
MACROSÓMICO,255,0,0
Peso..Edad.Gestacional.CODIGO,255,0,0
Peso.al.nacimiento.CODIGO,255,0,0
MASCULINO,255,0,0
Alimento.al.alta,255,0,0
CONSEJERIA.LACTANCIA,255,0,0
Defectos.congenitos.CODIGO,255,0,0
Egreso.RN,255,0,0
MAMA.HIV,255,0,0
BEBE.sifilis.congenita,255,0,0
BEBE.SEPSIS,255,0,0
BEBE.Hipoglicemia,255,0,0
BEBE.POLICITEMIA,255,0,0
BEBE.Ictericia,255,0,0
BEBE.Dificultad.respiratoria,255,0,0
BEBE.Trastorno.alimenticio,255,0,0
LACTANCIA_EXCLUSIVA_SI_NO,255,0,0
