variable,valor
"Origen materno extranjero, n (%)",36 (14.1%)
"Edad materna (años), mediana [RIC]",26.0 [21.0-32.0]
"Gestas previas, mediana [RIC]",2.0 [1.0-3.0]
"Consultas prenatales, mediana [RIC]",6.0 [4.0-8.0]
"Control prenatal <8 consultas, n (%)",178 (70.9%)
"Parto por cesárea, n (%)",105 (41.2%)
"Trastorno hipertensivo del embarazo, n (%)",28 (11.1%)
"Edad gestacional al nacer (semanas), mediana [RIC]",39.0 [37.0-39.0]
"Peso al nacer (gramos), mediana [RIC]",2925.0 [2616.0-3232.5]
"Pequeño para edad gestacional (restricción de crecimiento), n (%)",54 (21.2%)
"Defecto congénito, n (%)",21 (8.2%)
"Egreso: fallece, n (%)",2 (0.8%)
"Egreso: traslado, n (%)",3 (1.2%)
