anio,casos_total,nacimientos_total,tasa_x1000,ic95_inf,ic95_sup
2009,23,11472,2.004881450488145,1.2709228588776744,3.0083065633571335
2010,27,11618,2.3239800309864003,1.5315174842283328,3.3812689314135045
2011,13,11049,1.1765770657978099,0.6264777347274688,2.011982615454691
2012,25,9742,2.5662081708068154,1.6607146220313411,3.7882294906107945
2013,11,9980,1.1022044088176353,0.5502164696630099,1.9721481476254463
2014,16,8923,1.7931189061974673,1.0249223863769499,2.9119127644918694
2015,11,7699,1.4287569814261594,0.7132303373472969,2.5564409031435193
2016,11,6008,1.8308921438082557,0.9139747615241077,3.275971789830552
2017,11,5683,1.9355973957416859,0.9662432460385076,3.4633184081122566
2018,14,5131,2.728512960436562,1.491703425511713,4.577981119048056
2019,20,4212,4.748338081671415,2.9004082586429116,7.333423053816381
2020,16,5236,3.055767761650115,1.7466353043623997,4.962375400603697
2021,28,4218,6.638217164532954,4.411047097168688,9.594072058622142
2022,14,4305,3.2520325203252036,1.7779164404879442,5.45635798416622
2023,11,4108,2.6777020447906525,1.3366992130566795,4.791148615701547
2024,4,2358,1.6963528413910092,0.4621990558211727,4.343337012469761
